title,price,location,url,posted_date
HP ProBook Windows 11 Pro,$179,NE Portland,https://portland.craigslist.org/mlt/sys/d/portland-hp-probook-windows-11-pro/7835868863.html,
Vintage Talking Oregon Scientific  Cyber Station,$40,Hillsboro,https://portland.craigslist.org/wsc/sys/d/hillsboro-vintage-talking-oregon/7842343251.html,
"Acer Chromebook Spin 311 CP311-2H – 11.6"" 2-in-1 Touchscreen",$75,Portland,https://portland.craigslist.org/mlt/sys/d/portland-acer-chromebook-spin-311-cp311/7854439619.html,
MacBook Air,$750,Dayton,https://portland.craigslist.org/yam/sys/d/dayton-macbook-air/7855934628.html,
Lenovo Ideapad S540 Intel Core i5 Processor in Gray,$225,Aurora,https://portland.craigslist.org/clc/sys/d/aurora-lenovo-ideapad-s540-intel-core/7851419681.html,
Lenovo Ideapad Gaming 3,$450,Vancouver,https://portland.craigslist.org/clk/sys/d/vancouver-lenovo-ideapad-gaming/7855804706.html,
" Apple MacBook Pro, Air, iMac, Mac Mini, Mac Pro, Up To 73% Off!",$199,Techable.com,https://portland.craigslist.org/wsc/syd/d/portland-apple-macbook-pro-air-imac-mac/7855698706.html,
Neoprene-Water Resistant Computer Bag with Handle (lightly used),$10,South Tabor,https://portland.craigslist.org/mlt/sys/d/portland-neoprene-water-resistant/7855677293.html,
Lenovo t14 gen 3 i7 12th gen 48gb ram,$700,Vancouver,https://portland.craigslist.org/clk/sys/d/vancouver-lenovo-t14-gen-i7-12th-gen/7855538189.html,
HP Elitebook 850 G6 i7-8565U - 32GB RAM  512 GB SSD - Windows 11 Pro,$255,Portland,https://portland.craigslist.org/mlt/sys/d/portland-hp-elitebook-850-g6-i7-8565u/7855244326.html,
Microsoft Surface Pro 7 w/ keyboard & pen stylet,$450,Tigard,https://portland.craigslist.org/wsc/sys/d/portland-microsoft-surface-pro-w/7847677159.html,
Epson R260 Printer,$10,Gresham,https://portland.craigslist.org/mlt/sys/d/gresham-epson-r260-printer/7855134873.html,
Lenovo S340-15IIL,$275,multnomah county,https://portland.craigslist.org/mlt/sys/d/portland-lenovo-s340-15iil/7831537948.html,
"Apple Macbook Pro 13"" Intel i5-2435M 2.40GHz, 4GB, 500GB Mac OS 10.7.5",$89,Hillsboro,https://portland.craigslist.org/wsc/sys/d/hillsboro-apple-macbook-pro-13-intel-i5/7854818988.html,
15-inch MacBook Pro,$300,St Johns,https://portland.craigslist.org/mlt/sys/d/portland-15-inch-macbook-pro/7824639278.html,
"MacBook Pro 13"" 16GB RAM 2TB Storage Silver",$675,Vancouver,https://portland.craigslist.org/clk/sys/d/vancouver-macbook-pro-13-16gb-ram-2tb/7853900241.html,
Lenovo ThinkPad L512,$50,Vancouver,https://portland.craigslist.org/clk/sys/d/vancouver-lenovo-thinkpad-l512/7853808431.html,
Computer / Printer Work Station,$40,"Longview, WA",https://portland.craigslist.org/clk/sys/d/longview-computer-printer-work-station/7832449462.html,
MacBook Air mid 2013 - core i5 - 11”,$125,WOODBURN,https://portland.craigslist.org/clc/sys/d/woodburn-macbook-air-mid-core-i5-11/7853339320.html,
Gaming Corsair AMD desktop,$400,Vancouver,https://portland.craigslist.org/clk/sys/d/vancouver-gaming-corsair-amd-desktop/7852960310.html,
Samsung Galaxy Tab A9+ w/ EXTRAS,$180,Humboldt,https://portland.craigslist.org/mlt/sys/d/portland-samsung-galaxy-tab-a9-extras/7849778320.html,
:: Apple Mac Pro 2013 : 128GB : 512SDD : AMD D500 : Ventura ::,$500,NEPO,https://portland.craigslist.org/mlt/sys/d/portland-apple-mac-pro-gb-512sdd-amd/7846424481.html,
"16"" 2021 Macbook Pro M1 Max 1TB 64GB RAM","$2,200",Portland,https://portland.craigslist.org/wsc/sys/d/portland-macbook-pro-m1-max-1tb-64gb-ram/7848707619.html,
Macintosh G4 Laptops,$20,NE,https://portland.craigslist.org/mlt/sys/d/portland-macintosh-g4-laptops/7845858619.html,
Fast Dell E6540 quad i7-4810QM 16GB 512GB SSD W11 Pro,$180,PORTLAND,https://portland.craigslist.org/mlt/sys/d/portland-fast-dell-e6540-quad-i7-4810qm/7852678712.html,
"New Apple Laptops, Gold, Silver, Coins  Buyer",$0,Portland,https://portland.craigslist.org/mlt/sys/d/portland-new-apple-laptops-gold-silver/7841318757.html,
EXTERNAL GPU:  GTX 1660 eGPU - Akitio Node USB4 / Thunderbolt 3 & 4,$300,Portland,https://portland.craigslist.org/wsc/sys/d/portland-external-gpu-gtx-1660-egpu/7851207038.html,
Resellers Dream! 189 Lot of Acer Chromebook's Touch Screen  Spin 11 R751T-C4XP N,$15,Portland,https://portland.craigslist.org/mlt/sys/d/portland-resellers-dream-189-lot-of/7841915448.html,
11” iPad Air M1 - 64GB Starlight + Apple Pencil + Logitech Combo Touch Case,$450,Milwaukie,https://portland.craigslist.org/clc/sys/d/gladstone-11-ipad-air-m1-64gb-starlight/7851892534.html,
Lot of Windows 11 SSD Laptops in Stock - Walk in Store in Sherwood,$199,Sherwood,https://portland.craigslist.org/wsc/sys/d/sherwood-lot-of-windows-11-ssd-laptops/7839641656.html,
ROLLING COMPUTER TABLE STAND,$45,Portland,https://portland.craigslist.org/mlt/sys/d/portland-rolling-computer-table-stand/7849442360.html,
Computer and A/V Repair,$80,Felida,https://portland.craigslist.org/clk/sys/d/vancouver-computer-and-v-repair/7856920933.html,
Military Grade ToughBook Touchscreen SSD Webcam+Satellite GPS!,$450,"Vancouver,WA",https://portland.craigslist.org/mlt/sys/d/vancouver-military-grade-toughbook/7856517131.html,
4K Monitor that works great for MacBook Air M3 M4 Dell XPS Laptops,$200,Gresham,https://portland.craigslist.org/mlt/sys/d/gresham-4k-monitor-that-works-great-for/7856003613.html,
WE SELL PHONES / LAPTOPS / IPADS & TABLETS,$50,Or/wa,https://portland.craigslist.org/clk/syd/d/vancouver-we-sell-phones-laptops-ipads/7855939566.html,
Recycling your Computer ?,$0,Portland,https://portland.craigslist.org/mlt/sys/d/portland-recycling-your-computer/7855764254.html,
Wanted : Laptops  ….  Newer / Older,$0,Portland Area,https://portland.craigslist.org/clk/sys/d/portland-wanted-laptops-newer-older/7850348677.html,
Gaming PC,$700,Lake Oswego,https://portland.craigslist.org/clc/sys/d/lake-oswego-gaming-pc/7850336268.html,
ASUS ROG m16,$850,Portland,https://portland.craigslist.org/wsc/sys/d/portland-asus-rog-m16/7850242627.html,
"Dell 5491 14.1"" Core i7-8850H. 16Gb. 256Gb NVME SSD. HDMI. FHD. Win11P",$220,Portland,https://portland.craigslist.org/mlt/sys/d/portland-dell-core-i7-8850h-16gb-256gb/7842775054.html,
